TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220329124439,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220329124190,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  61.00 ,
TRX20220329124202,8-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  945.00 ,
TRX20220329124536,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124257,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  764.00 ,
TRX20220329124094,9-Jan-24,Property Maintenance,,Other Expenses,,  65.00 ,
TRX20220329124165,9-Jan-24,Property Maintenance,,Other Expenses,,  749.00 ,
TRX20220329124555,9-Jan-24,Property Maintenance,,Other Expenses,,  749.00 ,
TRX20220329124134,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  859.00 ,
TRX20220329124508,9-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  372.00 ,
TRX20220329124136,9-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  892.00 ,
TRX20220329124378,9-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  97.00 ,
TRX20220329124489,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220329124117,9-Jan-24,Property Maintenance,,Other Expenses,,  749.00 ,
TRX20220329124197,9-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  892.00 ,
TRX20220329124124,9-Jan-24,Property Maintenance,,Other Expenses,,  749.00 ,
TRX20220329124118,9-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  669.00 ,
TRX20220329124292,9-Jan-24,Housing Rent,Rental payments for housing accommodations,Other Expenses,Direct debit,"  1,100.00 ",
TRX20220329124139,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220329124549,9-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  97.00 ,
TRX20220329124476,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  859.00 ,
TRX20220329124314,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220329124282,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  667.00 
TRX20220329124129,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  859.00 ,
TRX20220329124508,9-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  372.00 ,
TRX20220329124099,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220329124442,10-Jan-24,Property Maintenance,,Other Expenses,,  63.00 ,
TRX20220329124374,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  517.00 ,
TRX20220329124197,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  422.00 ,
TRX20220329124093,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  422.00 ,
TRX20220329124507,10-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  19.00 ,
TRX20220329124094,10-Jan-24,Property Maintenance,,Other Expenses,,  63.00 ,
TRX20220329124407,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  422.00 ,
TRX20220329124121,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  422.00 ,
TRX20220329124420,10-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  42.00 ,
TRX20220329124090,10-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  610.00 ,
TRX20220329124118,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  89.00 ,
TRX20220329124466,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  89.00 ,
TRX20220329124499,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  89.00 ,
TRX20220329124164,11-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  321.00 ,
TRX20220329124438,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124237,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124141,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  753.00 ,
TRX20220329124468,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  753.00 ,
TRX20220329124088,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  753.00 ,
TRX20220329124067,11-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  299.00 ,
TRX20220329124214,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  89.00 ,
TRX20220329124527,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  89.00 ,
TRX20220329124422,11-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  750.00 
TRX20220329124438,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124447,11-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  750.00 
TRX20220329124329,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  777.00 ,
TRX20220329124260,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  89.00 ,
TRX20220329124421,11-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  299.00 ,
TRX20220329124529,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124143,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  777.00 ,
TRX20220329124260,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  89.00 ,
TRX20220329124186,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  89.00 ,
TRX20220329124542,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  753.00 ,
TRX20220329124438,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124534,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  637.69 ,
TRX20220329124489,11-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  750.00 
TRX20220329124550,11-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  321.00 ,
TRX20220329124237,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  765.00 ,
TRX20220329124420,12-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  89.00 ,
TRX20220329124351,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  286.00 ,
TRX20220329124359,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  775.98 ,
TRX20220329124563,12-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  624.00 ,
TRX20220329124401,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220329124123,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  153.02 ,
TRX20220329124466,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  115.00 ,
TRX20220329124381,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  115.00 ,
TRX20220329124221,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  92.00 ,
TRX20220329124109,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  92.00 ,
TRX20220329124405,12-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  624.00 ,
TRX20220329124434,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  153.02 ,
TRX20220329124472,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220329124158,12-Jan-24,Home Ownership,,Other Expenses,,  135.89 ,
TRX20220329124479,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220329124339,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  286.00 ,
TRX20220329124323,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220329124212,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  153.02 ,
TRX20220329124403,12-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  89.00 ,
TRX20220329124480,12-Jan-24,Home Ownership,,Other Expenses,,  135.89 ,
TRX20220329124523,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220329124167,13-Jan-24,Property Maintenance,,Other Expenses,,  660.53 ,
TRX20220329124458,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  115.72 ,
TRX20220329124112,13-Jan-24,Property Maintenance,,Other Expenses,,  660.53 ,
TRX20220329124555,13-Jan-24,Property Maintenance,,Other Expenses,,  654.62 ,
TRX20220329124354,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  402.67 ,
TRX20220329124552,13-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  514.20 ,
TRX20220329124479,13-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  775.98 ,
TRX20220329124536,13-Jan-24,Property Maintenance,,Other Expenses,,  660.53 ,
TRX20220329124200,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  402.67 ,
TRX20220329124102,13-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  402.67 ,
TRX20220329124165,13-Jan-24,Property Maintenance,,Other Expenses,,  654.62 ,
TRX20220329124326,13-Jan-24,Home Ownership,,Other Expenses,,  330.44 ,
TRX20220329124369,13-Jan-24,Home Ownership,,Other Expenses,,330.44,
TRX20220329124394,13-Jan-24,Property Maintenance,,Other Expenses,,  660.53 ,
TRX20220329124209,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  402.67 ,
TRX20220329124476,13-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,465.28,
TRX20220329124332,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  57.19 ,
TRX20220329124182,14-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  831.88 ,
TRX20220329124162,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  57.19 ,
TRX20220329124341,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220329124192,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  16.98 ,
TRX20220329124556,14-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  547.11 ,
TRX20220329124252,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  16.98 ,
TRX20220329124304,14-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  831.88 ,
TRX20220329124188,14-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  831.88 ,
TRX20220329124159,14-Jan-24,Home Ownership,,Other Expenses,,  504.00 ,
TRX20220329124196,14-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  547.11 ,
TRX20220329124318,14-Jan-24,Home Ownership,,Other Expenses,,  504.00 ,
TRX20220329124382,14-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  637.69 ,
TRX20220329124351,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,454.09,
TRX20220329124362,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  454.09 ,
TRX20220329124421,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,255,
TRX20220329124397,15-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220329124145,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220329124505,15-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  669.00 ,
TRX20220329124182,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220329124465,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220329124353,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
