TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220332124420,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220332124108,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220332124313,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  376.00 ,
TRX20220332124364,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  870.00 
TRX20220332124318,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  948.40 ,
TRX20220332124251,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,770.00 "
TRX20220332124556,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  376.00 ,
TRX20220332124222,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  871.00 ,
TRX20220332124362,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,000.00 "
TRX20220332124089,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  880.00 
TRX20220332124155,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  417.00 ,
TRX20220332124155,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  417.00 ,
TRX20220332124120,3-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  209.00 ,
TRX20220332124115,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  417.00 ,
TRX20220332124586,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  417.00 ,
TRX20220332124126,3-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  159.00 ,
TRX20220332124298,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  417.00 ,
TRX20220332124144,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  871.00 ,
TRX20220332124227,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  871.00 ,
TRX20220332124473,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  948.40 ,
TRX20220332124179,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  326.00 ,
TRX20220332124281,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  831.88 ,
TRX20220332124157,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  831.88 ,
TRX20220332124421,4-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  491.47 ,
TRX20220332124449,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  436.00 ,
TRX20220332124235,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  436.00 ,
TRX20220332124503,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  436.00 ,
TRX20220332124503,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  436.00 ,
TRX20220332124398,5-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  326.00 ,
TRX20220332124273,5-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  753.00 ,
TRX20220332124213,5-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  701.00 ,
TRX20220332124583,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  436.00 ,
TRX20220332124487,6-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  478.00 ,
TRX20220332124166,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  782.28 ,
TRX20220332124355,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  115.72 ,
TRX20220332124365,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  782.28 ,
TRX20220332124171,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,500.00 "
TRX20220332124282,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  782.28 ,
TRX20220332124523,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  115.72 ,
TRX20220332124583,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  586.00 ,
TRX20220332124212,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  115.72 ,
TRX20220332124532,6-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  20,000.00 "
TRX20220332124532,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,500.00 "
TRX20220332124531,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  586.00 ,
TRX20220332124149,6-Jan-24,Home Ownership,,Other Expenses,,  827.00 ,
TRX20220332124110,6-Jan-24,Home Ownership,,Other Expenses,,  841.29 ,
TRX20220332124503,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  586.00 ,
TRX20220332124147,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  115.72 ,
TRX20220332124301,6-Jan-24,Home Ownership,,Other Expenses,,  827.00 ,
TRX20220332124317,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  115.72 ,
TRX20220332124347,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  115.72 ,
TRX20220332124091,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  16.98 ,
TRX20220332124452,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  115.72 ,
TRX20220332124316,7-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  912.00 ,
TRX20220332124507,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  775.98 ,
TRX20220332124317,7-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  115.72 ,
TRX20220332124094,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  879.18 ,
TRX20220332124290,7-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  895.00 ,
TRX20220332124236,7-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  767.00 ,
TRX20220332124242,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  775.98 ,
TRX20220332124507,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  775.98 ,
TRX20220332124247,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  863.76 ,
TRX20220332124254,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  879.18 ,
TRX20220332124098,8-Jan-24,Home Ownership,,Other Expenses,,  282.50 ,
TRX20220332124492,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  639.00 ,
TRX20220332124336,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,,"  4,000.00 "
TRX20220332124262,8-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  875.00 ,
TRX20220332124148,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  215.00 ,
TRX20220332124283,8-Jan-24,Home Ownership,,Other Expenses,,  282.50 ,
TRX20220332124451,8-Jan-24,Home Ownership,,Other Expenses,,  282.50 ,
TRX20220332124314,8-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  138.00 ,
TRX20220332124556,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  936.18 ,
TRX20220332124433,8-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  764.00 ,
TRX20220332124507,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  215.00 ,
TRX20220332124317,8-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  138.00 ,
TRX20220332124098,8-Jan-24,Home Ownership,,Other Expenses,,  282.50 ,
TRX20220332124298,8-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  875.00 ,
TRX20220332124078,8-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  875.00 ,
TRX20220332124313,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  936.18 ,
TRX20220332124306,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  684.67 ,
TRX20220332124166,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,992.46,
TRX20220332124520,9-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  104.01 ,
TRX20220332124579,9-Jan-24,Property Maintenance,,Other Expenses,,7.24,
TRX20220332124111,9-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  367.64 ,
TRX20220332124538,9-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  104.01 ,
TRX20220332124174,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  992.46 ,
TRX20220332124276,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  684.67 ,
TRX20220332124524,9-Jan-24,Property Maintenance,,Other Expenses,,  7.24 ,
TRX20220332124428,9-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  647.00 ,
TRX20220332124249,9-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  668.00 ,
TRX20220332124450,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  992.46 ,
TRX20220332124568,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  992.46 ,
TRX20220332124365,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  992.46 ,
TRX20220332124166,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  992.46 ,
TRX20220332124419,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  942.75 ,
TRX20220332124429,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  684.67 ,
TRX20220332124273,9-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  367.64 ,
TRX20220332124273,9-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  367.64 ,
TRX20220332124157,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  15.65 ,
TRX20220332124157,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,15.65,
TRX20220332124290,10-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  980.60 ,
TRX20220332124072,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  308.50 ,
TRX20220332124335,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  219.22 ,
TRX20220332124229,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  181.00 ,
TRX20220332124279,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  181.00 ,
TRX20220332124278,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  308.50 ,
TRX20220332124186,10-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  173.75 ,
TRX20220332124499,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  15.65 ,
TRX20220332124585,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  181.00 ,
TRX20220332124562,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  219.22 ,
TRX20220332124553,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  15.65 ,
TRX20220332124188,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  15.65 ,
TRX20220332124270,10-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  519.48 ,
TRX20220332124279,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  181.00 ,
TRX20220332124067,10-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  20.65 ,
TRX20220332124294,10-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  372.73 ,
TRX20220332124550,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  219.22 ,
TRX20220332124500,10-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  980.60 ,
TRX20220332124103,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  645.00 ,
TRX20220332124290,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  423.40 ,
TRX20220332124541,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  423.40 ,
TRX20220332124583,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220332124197,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  96.00 ,
TRX20220332124363,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220332124134,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  533.00 ,
TRX20220332124379,11-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  714.56 ,
TRX20220332124067,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  533.00 ,
TRX20220332124066,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  910.00 ,
TRX20220332124194,11-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  57.19 ,
TRX20220332124342,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  423.40 ,
TRX20220332124361,11-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  57.19 ,
TRX20220332124340,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  533.00 ,
TRX20220332124376,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  423.40 ,
TRX20220332124227,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  96.00 ,
TRX20220332124143,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  96.00 ,
TRX20220332124099,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  96.00 ,
TRX20220332124429,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  96.00 ,
TRX20220332124489,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  533.00 ,
TRX20220332124553,11-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  714.56 ,
TRX20220332124502,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220332124249,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  533.00 ,
TRX20220332124491,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  924.00 ,
TRX20220332124391,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  335.00 ,
TRX20220332124242,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  752.00 ,
TRX20220332124464,12-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  812.00 ,
TRX20220332124230,12-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  741.00 ,
TRX20220332124495,12-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  812.00 ,
TRX20220332124343,12-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220332124339,12-Jan-24,Home Ownership,,Other Expenses,,  670.00 ,
TRX20220332124508,12-Jan-24,Home Ownership,,Other Expenses,,  670.00 ,
TRX20220332124395,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  924.00 ,
TRX20220332124434,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124378,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124463,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  752.00 ,
TRX20220332124413,12-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  741.00 ,
TRX20220332124513,12-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220332124246,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124301,12-Jan-24,Home Ownership,,Other Expenses,,  670.00 ,
TRX20220332124516,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  924.00 ,
TRX20220332124184,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,752,
TRX20220332124064,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  335.00 ,
TRX20220332124278,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  335.00 ,
TRX20220332124187,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124075,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124472,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  806.00 ,
TRX20220332124128,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  752.00 ,
TRX20220332124513,13-Jan-24,Property Maintenance,,Other Expenses,,749,
TRX20220332124513,13-Jan-24,Property Maintenance,,Other Expenses,,  749.00 ,
TRX20220332124354,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  586.00 ,
TRX20220332124174,13-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  193.00 ,
TRX20220332124351,13-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  831.88 ,
TRX20220332124519,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124180,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124452,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,586,
TRX20220332124519,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124519,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124123,13-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  193.00 ,
TRX20220332124329,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124180,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  712.00 ,
TRX20220332124468,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  586.00 ,
TRX20220332124237,13-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  831.88 ,
TRX20220332124249,14-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220332124079,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  315.00 ,
TRX20220332124247,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,50,
TRX20220332124372,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  315.00 ,
TRX20220332124366,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  315.00 ,
TRX20220332124094,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  309.00 ,
TRX20220332124410,14-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220332124385,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,"  1,000.00 ",
TRX20220332124162,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  315.00 ,
TRX20220332124296,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  50.00 ,
TRX20220332124094,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  309.00 ,
TRX20220332124163,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,"  1,000.00 ",
TRX20220332124092,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  58.00 ,
TRX20220332124280,14-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  750.00 
TRX20220332124529,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,"  1,000.00 ",
TRX20220332124388,14-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  243.32 ,
TRX20220332124286,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  309.00 ,
TRX20220332124243,14-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  750.00 
TRX20220332124425,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,"  1,000.00 ",
TRX20220332124282,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  58.00 ,
TRX20220332124464,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  50.00 ,
